total_study_hours,avg_session_length,study_sessions_per_week,focus_ratio,late_night_study_ratio,days_until_deadline_avg,video_completion_rate,practice_problem_attempts,forum_participation,study_streak_days,final_grade,pass_fail
9.2,58.8,9.3,0.665,0.566,2.2,0.651,12.0,7,13.0,59.9,0
20.7,64.0,19.4,0.462,0.213,11.5,0.853,22.0,1,12.0,91.2,1
18.8,81.0,13.9,0.856,0.318,3.4,0.517,7.0,4,5.0,80.7,1
19.0,82.1,13.9,0.761,0.454,5.0,0.996,13.0,0,16.0,93.0,1
10.5,83.7,7.5,0.596,0.545,1.3,0.519,9.0,1,15.0,57.0,0
22.0,72.8,18.1,0.697,0.61,3.8,0.873,21.0,3,21.0,94.0,1
8.0,37.1,12.9,0.643,0.054,6.3,0.881,12.0,5,9.0,72.7,1
17.9,92.7,11.6,0.774,0.459,12.4,0.797,14.0,3,3.0,89.4,1
26.0,37.1,25.0,0.834,0.28,7.5,0.42,11.0,1,7.0,83.9,1
10.0,66.1,9.1,0.638,0.307,4.0,0.504,17.0,1,18.0,71.1,1
12.2,44.9,16.3,0.712,0.326,1.8,0.909,21.0,3,8.0,82.1,1
15.5,58.7,15.8,0.917,0.107,10.8,0.64,32.0,1,30.0,98.4,1
12.5,66.6,11.2,0.651,0.377,3.9,0.654,11.0,3,17.0,75.2,1
7.2,66.4,6.5,0.515,0.164,6.3,0.866,6.0,2,27.0,71.8,1
15.3,68.4,13.5,0.658,0.093,4.0,0.28,17.0,0,8.0,77.0,1
9.7,92.3,6.3,0.461,0.429,6.7,0.747,4.0,0,14.0,66.7,1
17.4,69.1,15.1,0.924,0.439,10.5,0.839,10.0,2,6.0,80.5,1
10.4,55.1,11.3,0.541,0.491,8.1,0.633,3.0,3,17.0,66.3,1
22.7,79.3,17.2,0.957,0.234,4.5,0.538,50.0,1,14.0,93.5,1
11.1,83.8,7.9,0.461,0.587,10.9,0.594,29.0,2,16.0,74.5,1
13.4,35.4,22.7,0.754,0.274,13.9,0.581,27.0,1,8.0,71.7,1
19.1,71.9,15.9,0.754,0.534,9.3,0.815,33.0,1,11.0,95.3,1
8.8,74.0,7.2,0.8,0.498,4.1,0.72,25.0,1,11.0,78.7,1
16.1,54.0,17.9,0.789,0.196,8.5,0.2,16.0,3,8.0,75.8,1
21.5,87.5,14.8,0.7,0.207,9.2,0.636,16.0,1,12.0,92.1,1
7.0,57.0,7.3,0.674,0.309,4.6,0.517,31.0,4,13.0,78.3,1
15.9,62.5,15.3,0.841,0.646,13.9,0.813,32.0,3,15.0,89.2,1
16.3,56.5,17.3,0.81,0.22,10.2,0.663,6.0,4,8.0,80.5,1
18.9,60.3,18.8,0.686,0.328,4.7,0.683,12.0,2,17.0,77.7,1
8.8,38.1,13.9,0.887,0.333,4.1,0.634,14.0,1,16.0,80.7,1
8.4,31.2,16.1,0.744,0.214,9.1,0.815,26.0,1,15.0,86.1,1
17.6,91.9,11.5,0.693,0.573,14.0,0.518,7.0,2,17.0,81.5,1
16.5,43.1,23.0,0.865,0.205,2.3,0.712,6.0,2,10.0,79.7,1
16.3,40.2,24.3,0.841,0.341,6.9,0.852,4.0,2,5.0,52.2,0
16.7,16.9,25.0,0.687,0.37,8.4,0.755,9.0,4,16.0,84.8,1
11.6,47.2,14.7,0.544,0.446,10.5,0.56,10.0,1,7.0,68.4,1
16.2,33.5,25.0,0.818,0.33,8.5,0.67,37.0,2,4.0,80.0,1
16.5,92.8,10.6,0.875,0.17,3.9,0.645,24.0,1,8.0,85.7,1
11.4,80.2,8.6,0.865,0.563,2.1,0.743,26.0,1,12.0,86.8,1
24.3,46.2,25.0,0.558,0.01,4.4,0.981,6.0,3,22.0,81.4,1
17.4,105.0,9.9,0.761,0.25,8.3,0.506,11.0,1,13.0,95.8,1
9.0,79.6,6.8,0.367,0.282,3.7,0.386,22.0,4,17.0,72.3,1
18.3,53.5,20.5,0.563,0.403,11.4,0.59,15.0,2,16.0,80.4,1
10.1,15.0,25.0,0.857,0.195,4.9,0.609,19.0,0,13.0,65.6,1
18.9,105.8,10.7,0.943,0.399,3.5,0.732,4.0,5,9.0,78.1,1
20.8,32.2,25.0,0.836,0.321,7.4,0.847,14.0,3,5.0,89.4,1
10.9,27.1,24.1,0.738,0.399,4.6,0.832,23.0,2,30.0,76.3,1
19.8,80.5,14.8,0.614,0.449,4.0,0.272,6.0,0,8.0,81.9,1
17.1,108.8,9.4,0.566,0.379,14.0,0.518,2.0,0,9.0,75.0,1
19.1,87.7,13.1,0.957,0.465,3.7,0.324,5.0,4,10.0,79.6,1
24.5,71.3,20.6,0.862,0.345,4.3,0.882,30.0,1,8.0,99.5,1
13.8,71.9,11.5,0.579,0.165,7.4,0.473,5.0,1,14.0,88.6,1
11.2,77.1,8.7,0.751,0.137,11.3,0.831,13.0,1,8.0,82.6,1
10.6,75.2,8.4,0.505,0.367,7.0,0.897,2.0,4,9.0,65.4,1
10.9,65.6,10.0,0.729,0.147,5.7,0.462,6.0,1,7.0,78.1,1
14.6,62.1,14.1,0.828,0.04,14.0,0.596,15.0,6,9.0,90.1,1
16.7,58.7,17.1,0.667,0.597,4.2,0.622,13.0,3,5.0,79.6,1
16.4,44.9,21.9,0.753,0.643,4.2,0.867,27.0,0,4.0,67.6,1
19.1,54.4,21.1,0.536,0.145,3.7,0.41,18.0,1,25.0,88.0,1
15.1,26.1,25.0,0.918,0.215,6.8,0.863,6.0,3,17.0,74.2,1
22.3,58.0,23.0,0.875,0.168,3.0,0.6,11.0,2,23.0,90.3,1
13.7,40.2,20.4,0.734,0.359,2.5,0.723,9.0,2,24.0,68.0,1
28.6,37.9,25.0,0.75,0.161,4.3,0.943,1.0,2,6.0,84.9,1
18.1,63.6,17.1,0.902,0.198,1.7,0.72,37.0,1,22.0,92.3,1
10.7,87.8,7.3,0.781,0.423,6.3,0.529,14.0,1,19.0,81.3,1
9.6,78.4,7.4,0.7,0.102,6.8,0.704,16.0,2,9.0,85.1,1
17.4,28.6,25.0,0.49,0.304,7.5,0.643,21.0,1,13.0,76.6,1
13.9,40.2,20.7,0.729,0.093,8.7,0.64,21.0,2,17.0,78.3,1
18.6,78.8,14.1,0.9,0.138,4.4,0.821,23.0,2,15.0,96.8,1
17.4,40.4,25.0,0.423,0.081,10.6,0.776,10.0,2,10.0,81.6,1
14.6,55.5,15.8,0.429,0.264,10.0,0.758,9.0,2,12.0,84.1,1
10.8,71.0,9.1,0.654,0.3,2.7,0.436,28.0,3,14.0,57.2,0
7.4,40.6,11.0,0.654,0.028,5.2,0.917,38.0,1,9.0,77.8,1
12.8,62.1,12.3,0.902,0.25,0.9,0.693,2.0,6,15.0,77.6,1
19.3,33.3,25.0,0.661,0.079,10.6,0.816,27.0,2,7.0,90.1,1
16.1,48.0,20.1,0.765,0.654,8.7,0.467,11.0,1,23.0,69.9,1
8.8,66.4,7.9,0.786,0.451,12.0,0.935,13.0,0,19.0,82.6,1
15.9,28.1,25.0,0.787,0.332,1.9,0.647,1.0,2,17.0,60.1,1
16.9,68.8,14.8,0.854,0.46,7.1,0.875,13.0,1,13.0,87.9,1
10.6,59.6,10.7,0.788,0.221,3.9,0.705,8.0,1,12.0,81.6,1
15.8,71.0,13.3,0.507,0.42,1.3,0.444,1.0,1,19.0,57.8,0
15.3,64.5,14.2,0.666,0.142,9.4,0.818,30.0,1,5.0,100.0,1
9.3,87.3,6.4,0.904,0.256,2.3,0.405,15.0,2,6.0,82.3,1
16.8,62.5,16.1,0.861,0.128,6.6,0.713,17.0,0,15.0,88.6,1
17.8,51.4,20.8,0.744,0.753,3.8,0.864,30.0,1,11.0,67.4,1
20.4,62.4,19.6,0.886,0.038,6.0,0.392,22.0,3,8.0,92.4,1
20.3,70.9,17.2,0.649,0.084,8.8,0.558,4.0,1,20.0,88.7,1
8.1,61.0,8.0,0.746,0.147,6.0,0.932,25.0,2,12.0,84.3,1
10.3,60.8,10.2,0.656,0.522,3.0,0.628,3.0,1,13.0,75.3,1
17.6,46.0,22.9,0.9,0.241,14.0,0.826,21.0,0,20.0,83.6,1
17.6,46.7,22.6,0.674,0.163,4.4,0.832,43.0,3,10.0,88.1,1
17.6,31.9,25.0,0.797,0.394,3.4,0.926,21.0,1,30.0,73.3,1
34.3,95.0,21.6,0.502,0.731,5.1,0.713,10.0,7,5.0,84.2,1
17.9,35.1,25.0,0.881,0.198,1.9,0.741,42.0,3,20.0,90.3,1
20.7,46.1,25.0,0.638,0.424,3.6,0.489,15.0,0,8.0,74.9,1
19.8,45.6,25.0,0.718,0.453,4.6,0.871,6.0,3,18.0,72.2,1
18.3,77.9,14.1,0.829,0.161,6.2,0.85,8.0,3,7.0,86.4,1
13.4,54.1,14.9,0.923,0.084,5.5,0.652,8.0,3,4.0,92.8,1
18.8,85.0,13.3,0.751,0.173,7.1,0.847,49.0,0,18.0,100.0,1
11.1,46.5,14.4,0.657,0.349,5.2,0.891,20.0,0,9.0,75.9,1
13.8,65.6,12.6,0.795,0.269,9.9,0.717,21.0,1,4.0,67.5,1
12.6,43.3,17.4,0.867,0.219,7.9,0.751,19.0,2,19.0,100.0,1
15.4,102.9,9.0,0.853,0.138,6.8,0.634,16.0,1,12.0,87.9,1
26.6,36.2,25.0,0.853,0.147,10.8,0.733,9.0,7,9.0,92.3,1
5.7,66.2,5.1,0.653,0.341,10.8,0.338,5.0,1,13.0,60.4,1
18.4,72.7,15.2,0.89,0.227,5.8,0.685,17.0,0,10.0,90.5,1
6.9,68.3,6.1,0.848,0.248,4.3,0.272,41.0,2,9.0,77.8,1
12.6,56.3,13.5,0.819,0.011,6.1,0.538,17.0,3,17.0,92.9,1
20.4,57.4,21.4,0.769,0.18,5.0,0.95,32.0,3,12.0,83.1,1
15.3,60.9,15.1,0.807,0.518,4.2,0.61,2.0,2,7.0,70.7,1
9.6,57.1,10.1,0.808,0.494,6.0,0.791,17.0,2,11.0,89.5,1
11.4,79.3,8.6,0.745,0.468,6.7,0.641,9.0,1,17.0,76.1,1
18.4,104.2,10.6,0.46,0.445,7.6,0.816,6.0,1,5.0,75.8,1
11.3,48.9,13.9,0.426,0.279,11.8,0.798,36.0,2,21.0,76.3,1
16.1,32.6,25.0,0.815,0.46,6.3,0.836,10.0,1,12.0,76.3,1
15.2,58.2,15.7,0.517,0.168,5.3,0.306,20.0,1,12.0,83.8,1
11.7,111.6,6.3,0.728,0.49,9.3,0.596,12.0,3,12.0,83.9,1
25.7,43.9,25.0,0.855,0.191,3.2,0.84,4.0,2,26.0,88.7,1
18.2,92.8,11.7,0.851,0.428,1.7,0.439,22.0,2,11.0,86.7,1
4.9,93.6,3.1,0.796,0.384,7.1,0.65,10.0,1,9.0,79.7,1
15.9,48.9,19.5,0.72,0.247,4.4,0.441,25.0,2,10.0,89.5,1
11.7,71.4,9.8,0.621,0.028,4.6,0.822,6.0,3,18.0,75.6,1
19.3,92.6,12.5,0.98,0.57,3.1,0.602,9.0,1,15.0,66.8,1
11.0,52.4,12.6,0.829,0.363,10.3,0.2,20.0,3,11.0,79.0,1
14.4,55.9,15.5,0.964,0.272,1.8,0.848,7.0,3,30.0,94.1,1
17.5,48.4,21.7,0.563,0.321,7.5,0.918,22.0,2,15.0,71.4,1
19.3,39.7,25.0,0.464,0.068,5.4,0.54,2.0,3,6.0,69.6,1
9.0,47.0,11.5,0.674,0.145,12.2,0.772,5.0,6,3.0,74.2,1
13.3,35.5,22.5,0.793,0.489,9.3,0.435,14.0,3,16.0,71.0,1
12.6,60.7,12.5,0.795,0.571,2.6,0.544,21.0,1,9.0,69.2,1
11.7,44.6,15.8,0.624,0.122,7.9,0.769,15.0,2,4.0,87.1,1
23.8,64.7,22.1,0.866,0.32,7.0,0.544,19.0,2,10.0,87.7,1
17.0,28.9,25.0,0.624,0.286,5.1,0.747,10.0,2,16.0,67.5,1
8.7,66.6,7.8,0.54,0.425,7.5,0.53,2.0,3,10.0,70.1,1
19.6,76.7,15.3,0.552,0.211,3.6,0.871,11.0,2,11.0,76.6,1
25.6,20.1,25.0,0.729,0.412,5.7,0.804,11.0,5,2.0,91.9,1
20.2,67.5,17.9,0.693,0.449,5.4,0.892,30.0,2,16.0,98.6,1
7.4,84.6,5.3,0.856,0.268,3.2,0.829,22.0,0,3.0,83.0,1
12.6,35.8,21.1,0.481,0.418,4.4,0.656,5.0,0,7.0,54.9,0
21.3,93.5,13.7,0.609,0.15,4.0,0.754,1.0,1,13.0,80.7,1
11.5,68.4,10.1,0.715,0.472,6.7,0.474,12.0,3,7.0,72.7,1
17.2,45.9,22.5,0.863,0.089,10.6,0.774,9.0,1,7.0,80.4,1
18.9,58.9,19.2,0.812,0.468,2.2,0.72,39.0,1,12.0,83.5,1
10.4,71.2,8.7,0.903,0.469,6.8,0.569,31.0,2,13.0,76.5,1
14.7,61.5,14.3,0.564,0.348,3.9,0.208,4.0,1,11.0,64.7,1
2.0,70.8,2.0,0.901,0.264,9.0,0.89,21.0,2,2.0,64.8,1
9.9,41.6,14.3,0.726,0.184,6.8,0.882,19.0,3,3.0,83.5,1
13.7,63.4,13.0,0.713,0.411,1.8,0.928,19.0,5,18.0,83.0,1
8.8,31.7,16.6,0.558,0.06,6.0,0.542,50.0,3,9.0,76.9,1
23.2,57.8,24.1,0.942,0.182,5.0,0.704,13.0,1,30.0,84.5,1
7.8,41.9,11.2,0.59,0.375,2.4,0.84,23.0,3,12.0,63.7,1
12.8,45.3,17.0,0.665,0.191,3.9,0.866,26.0,0,29.0,98.1,1
15.7,84.7,11.1,0.646,0.212,5.8,0.882,17.0,5,10.0,82.8,1
22.2,81.8,16.3,0.779,0.294,4.0,0.382,39.0,3,8.0,97.1,1
7.8,72.2,6.5,0.52,0.277,9.5,0.649,16.0,1,16.0,73.2,1
20.8,38.2,25.0,0.895,0.086,4.9,0.561,25.0,3,20.0,70.5,1
15.1,53.7,16.8,0.694,0.234,3.7,0.779,8.0,0,10.0,89.1,1
10.1,84.3,7.2,0.952,0.332,6.0,0.472,5.0,4,15.0,82.0,1
17.3,62.8,16.5,0.719,0.431,6.5,0.483,20.0,2,3.0,74.6,1
16.0,106.4,9.0,0.809,0.541,9.0,0.864,13.0,0,6.0,81.0,1
12.0,67.9,10.6,0.571,0.362,5.5,0.55,14.0,0,14.0,62.8,1
15.3,63.8,14.4,0.889,0.031,6.3,0.651,10.0,1,9.0,99.0,1
13.1,53.8,14.6,0.951,0.681,4.4,0.387,24.0,1,13.0,69.1,1
15.6,62.7,14.9,0.3,0.376,12.4,0.599,15.0,1,14.0,72.3,1
18.3,57.0,19.3,0.755,0.212,6.7,0.729,50.0,0,15.0,88.0,1
22.9,74.2,18.6,0.687,0.238,5.9,0.727,15.0,2,18.0,94.9,1
8.8,79.1,6.7,0.534,0.346,4.0,0.505,18.0,3,18.0,81.1,1
25.7,44.3,25.0,0.675,0.137,9.7,0.729,26.0,2,5.0,100.0,1
5.2,33.4,9.4,0.671,0.122,1.7,0.713,20.0,1,10.0,66.1,1
14.2,23.3,25.0,0.64,0.26,6.0,0.593,5.0,3,10.0,69.5,1
17.9,70.2,15.3,0.858,0.685,3.6,0.53,12.0,1,10.0,78.0,1
16.4,37.9,25.0,0.716,0.404,8.5,0.416,7.0,5,9.0,63.6,1
11.9,16.9,25.0,0.924,0.126,6.5,0.809,19.0,2,11.0,94.2,1
14.0,67.8,12.4,0.676,0.014,5.9,0.733,17.0,2,7.0,93.6,1
12.5,109.9,6.8,0.806,0.117,2.8,0.869,25.0,4,17.0,91.6,1
12.1,59.9,12.1,0.498,0.333,5.2,0.606,28.0,1,14.0,86.1,1
19.2,76.8,15.0,0.654,0.208,6.7,0.8,7.0,0,7.0,91.4,1
16.8,61.6,16.3,0.517,0.459,9.0,0.345,27.0,3,11.0,80.0,1
11.5,58.0,11.9,0.725,0.141,7.2,0.514,30.0,1,28.0,87.8,1
19.5,78.4,14.9,0.807,0.254,8.5,0.814,6.0,1,5.0,97.7,1
16.5,54.2,18.3,0.671,0.507,2.1,0.53,18.0,4,6.0,70.0,1
19.1,65.3,17.5,0.462,0.138,5.9,0.764,34.0,2,18.0,100.0,1
18.1,66.4,16.4,0.663,0.18,9.2,0.956,11.0,1,25.0,90.9,1
10.9,46.6,14.0,0.742,0.246,1.0,0.934,14.0,3,13.0,89.1,1
12.2,79.8,9.2,0.521,0.317,4.7,0.573,18.0,1,11.0,73.2,1
18.7,56.5,19.9,0.727,0.263,6.7,0.639,15.0,3,5.0,88.1,1
18.1,44.9,24.1,0.487,0.062,9.9,0.954,16.0,4,8.0,81.4,1
14.9,70.7,12.6,0.66,0.134,5.7,0.519,22.0,4,8.0,79.9,1
15.6,42.0,22.3,0.734,0.22,5.3,0.851,22.0,1,8.0,74.6,1
21.4,60.6,21.2,0.602,0.207,6.4,0.653,13.0,4,7.0,89.9,1
12.0,59.8,12.1,0.823,0.488,6.7,0.942,42.0,0,5.0,64.7,1
17.7,81.7,13.0,0.3,0.576,3.1,0.61,7.0,0,16.0,59.3,0
14.0,69.5,12.1,0.734,0.51,4.0,0.553,25.0,0,13.0,70.7,1
13.9,59.5,14.0,0.673,0.123,1.5,0.931,1.0,1,5.0,66.6,1
20.5,76.4,16.1,0.811,0.534,3.6,0.842,14.0,4,11.0,99.1,1
19.1,87.8,13.1,0.816,0.3,2.6,0.67,1.0,1,9.0,88.9,1
